End Date Ebay,Start Date,ebay Image URL 1,Set Name,Quantity Available,Shipping Cost,Format,Current Price,Bid Count,Card Number,ebay Image URL 2,Category,CategoryID,Team,Attributes,ebay listing URL,Card Name,Player/Athlete,Title,End Date,Sport,ItemID,Features,Variation
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/he8AAeSwuHlogTHf/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,40,,None,,Dallas Mavericks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-40-Brad-Davis-Mavericks-/236223305180,1990-91 Fleer #40 Brad Davis,Brad Davis,1990-91 Fleer NBA Basketball Card #40 Brad Davis Mavericks,2025-08-18T03:45:00.000Z,Basketball,236223305180,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/WLwAAeSw-PdogTHd/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,16,,None,,Charlotte Hornets,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-16-Tyrone-Bogues-Hornets-/236223305181,1990-91 Fleer #16 Tyrone Bogues,Tyrone Bogues,1990-91 Fleer NBA Basketball Card #16 Tyrone Bogues Hornets,2025-08-18T03:45:00.000Z,Basketball,236223305181,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/cbYAAeSwXLNogTGi/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,42,,None,,Dallas Mavericks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-42-Derek-Harper-Mavericks-/236223305182,1990-91 Fleer #42 Derek Harper,Derek Harper,1990-91 Fleer NBA Basketball Card #42 Derek Harper Mavericks,2025-08-18T03:45:00.000Z,Basketball,236223305182,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/bL4AAeSwc0hogTJc/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,27,,None,,Chicago Bulls,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Rookie-Error-Card-27-Stacey-King-RC-UER-Bulls-/236223305183,1990-91 Fleer #27 Stacey King RC UER,Stacey King,1990-91 Fleer NBA Basketball Rookie Error Card #27 Stacey King RC UER Bulls,2025-08-18T03:45:00.000Z,Basketball,236223305183,"Base Set, Rookie Card (RC), Uncorrected Error (UER)",0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/SOkAAeSwSSVogTJT/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,28,,None,,Chicago Bulls,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-28-John-Paxson-Bulls-/236223305184,1990-91 Fleer #28 John Paxson,John Paxson,1990-91 Fleer NBA Basketball Card #28 John Paxson Bulls,2025-08-18T03:45:00.000Z,Basketball,236223305184,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/P~UAAeSwf4togTHd/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,1,,None,,Atlanta Hawks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Error-Card-1-John-Battle-UER-Hawks-/236223305185,1990-91 Fleer #1 John Battle UER,John Battle,1990-91 Fleer NBA Basketball Error Card #1 John Battle UER Hawks,2025-08-18T03:45:00.000Z,Basketball,236223305185,"Base Set, Uncorrected Error (UER)",0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/amwAAeSwpBJogTGi/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,46,,None,,Denver Nuggets,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-46-Michael-Adams-Nuggets-/236223305186,1990-91 Fleer #46 Michael Adams,Michael Adams,1990-91 Fleer NBA Basketball Card #46 Michael Adams Nuggets,2025-08-18T03:45:00.000Z,Basketball,236223305186,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/iacAAeSwIRlogTIa/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,10,,None,,Boston Celtics,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-10-Joe-Kleine-Celtics-/236223305187,1990-91 Fleer #10 Joe Kleine,Joe Kleine,1990-91 Fleer NBA Basketball Card #10 Joe Kleine Celtics,2025-08-18T03:45:00.000Z,Basketball,236223305187,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/Q0IAAeSwO-xogTGi/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,13,,None,,Boston Celtics,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Hall-Fame-Card-13-Robert-Parish-HOF-Celtics-/236223305188,1990-91 Fleer #13 Robert Parish,Robert Parish,1990-91 Fleer NBA Basketball Hall Of Fame Card #13 Robert Parish HOF Celtics,2025-08-18T03:45:00.000Z,Basketball,236223305188,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/~XkAAeSwvbJogTHb/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,36,,None,,Cleveland Cavaliers,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Error-Card-36-Mark-Price-UER-Cavaliers-/236223305189,1990-91 Fleer #36 Mark Price UER,Mark Price,1990-91 Fleer NBA Basketball Error Card #36 Mark Price UER Cavaliers,2025-08-18T03:45:00.000Z,Basketball,236223305189,"Base Set, Uncorrected Error (UER)",0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/Z8QAAeSwTo9ogTFs/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,35,,None,,Cleveland Cavaliers,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-35-Larry-Nance-Cavaliers-/236223305190,1990-91 Fleer #35 Larry Nance,Larry Nance,1990-91 Fleer NBA Basketball Card #35 Larry Nance Cavaliers,2025-08-18T03:45:00.000Z,Basketball,236223305190,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/S-oAAeSwJNlogTGk/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,15,,None,,Boston Celtics,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-15-Ed-Pinckney-Celtics-/236223305191,1990-91 Fleer #15 Ed Pinckney,Ed Pinckney,1990-91 Fleer NBA Basketball Card #15 Ed Pinckney Celtics,2025-08-18T03:45:00.000Z,Basketball,236223305191,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/ZIsAAeSwQkRogTJV/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,29,,None,,Chicago Bulls,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-29-Perdue-Bulls-/236223305192,1990-91 Fleer #29 Will Perdue,Will Perdue,1990-91 Fleer NBA Basketball Card #29 Will Perdue Bulls,2025-08-18T03:45:00.000Z,Basketball,236223305192,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/VFEAAeSw6klogTJV/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,6,,None,,Atlanta Hawks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Hall-Fame-Card-6-Dominique-Wilkins-HOF-Hawks-/236223305193,1990-91 Fleer #6 Dominique Wilkins,Dominique Wilkins,1990-91 Fleer NBA Basketball Hall Of Fame Card #6 Dominique Wilkins HOF Hawks,2025-08-18T03:45:00.000Z,Basketball,236223305193,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/iXsAAeSwFPRogTJb/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,30,,None,,Chicago Bulls,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Hall-Fame-Card-30-Scottie-Pippen-HOF-Bulls-/236223305194,1990-91 Fleer #30 Scottie Pippen,Scottie Pippen,1990-91 Fleer NBA Basketball Hall Of Fame Card #30 Scottie Pippen HOF Bulls,2025-08-18T03:45:00.000Z,Basketball,236223305194,"Base Set, Uncorrected Error (UER)",0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/U~0AAeSwxt9ogTIf/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,25,,None,,Chicago Bulls,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-25-Craig-Hodges-Bulls-/236223305195,1990-91 Fleer #25 Craig Hodges,Craig Hodges,1990-91 Fleer NBA Basketball Card #25 Craig Hodges Bulls,2025-08-18T03:45:00.000Z,Basketball,236223305195,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/uoUAAeSwqbJogTJV/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,12,,None,,Boston Celtics,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Hall-Fame-Card-12-Kevin-McHale-HOF-Celtics-/236223305196,1990-91 Fleer #12 Kevin McHale,Kevin McHale,1990-91 Fleer NBA Basketball Hall Of Fame Card #12 Kevin McHale HOF Celtics,2025-08-18T03:45:00.000Z,Basketball,236223305196,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/b-4AAeSwQ1ZogTGh/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,4,,None,,Atlanta Hawks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-4-Kenny-Smith-Hawks-/236223305197,1990-91 Fleer #4 Kenny Smith,Kenny Smith,1990-91 Fleer NBA Basketball Card #4 Kenny Smith Hawks,2025-08-18T03:45:00.000Z,Basketball,236223305197,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/c0wAAeSw29VogTKP/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,22,,None,,Chicago Bulls,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Traded-Rookie-Card-22-B-J-Armstrong-RC-Bulls-/236223305198,1990-91 Fleer #22 B.J. Armstrong RC,B.J. Armstrong,1990-91 Fleer NBA Basketball Traded Rookie Card #22 B.J. Armstrong RC Bulls,2025-08-18T03:45:00.000Z,Basketball,236223305198,"Base Set, Rookie Card (RC), Traded Card (TR)",0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/QSkAAeSwlz1ogTHe/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,14,,None,,Boston Celtics,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-14-Jim-Paxson-Celtics-/236223305199,1990-91 Fleer #14 Jim Paxson,Jim Paxson,1990-91 Fleer NBA Basketball Card #14 Jim Paxson Celtics,2025-08-18T03:45:00.000Z,Basketball,236223305199,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/VGkAAeSwUx9ogTHd/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,47,,None,,Denver Nuggets,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Hall-Fame-Card-47-Walter-Davis-HOF-Nuggets-/236223305200,1990-91 Fleer #47 Walter Davis,Walter Davis,1990-91 Fleer NBA Basketball Hall Of Fame Card #47 Walter Davis HOF Nuggets,2025-08-18T03:45:00.000Z,Basketball,236223305200,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/rKQAAeSw1ZlogTFn/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,3,,None,,Atlanta Hawks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Hall-Fame-Card-3-Moses-Malone-HOF-Hawks-/236223305201,1990-91 Fleer #3 Moses Malone,Moses Malone,1990-91 Fleer NBA Basketball Hall Of Fame Card #3 Moses Malone HOF Hawks,2025-08-18T03:45:00.000Z,Basketball,236223305201,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/MdQAAeSw~gRogTHf/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,19,,None,,Charlotte Hornets,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-19-Armon-Gilliam-Hornets-/236223305202,1990-91 Fleer #19 Armon Gilliam,Armon Gilliam,1990-91 Fleer NBA Basketball Card #19 Armon Gilliam Hornets,2025-08-18T03:45:00.000Z,Basketball,236223305202,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/RG4AAeSwDsBogTJW/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,20,,None,,Charlotte Hornets,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Rookie-Card-20-J-R-Reid-RC-Hornets-/236223305203,1990-91 Fleer #20 J.R. Reid RC,J.R. Reid,1990-91 Fleer NBA Basketball Rookie Card #20 J.R. Reid RC Hornets,2025-08-18T03:45:00.000Z,Basketball,236223305203,"Base Set, Rookie Card (RC)",0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/RVwAAeSwq9FogTHh/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,24,,None,,Chicago Bulls,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-24-Horace-Grant-Bulls-/236223305204,1990-91 Fleer #24 Horace Grant,Horace Grant,1990-91 Fleer NBA Basketball Card #24 Horace Grant Bulls,2025-08-18T03:45:00.000Z,Basketball,236223305204,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/QKcAAeSwXnRogTGk/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,43,,None,,Dallas Mavericks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-43-Sam-Perkins-Mavericks-/236223305205,1990-91 Fleer #43 Sam Perkins,Sam Perkins,1990-91 Fleer NBA Basketball Card #43 Sam Perkins Mavericks,2025-08-18T03:45:00.000Z,Basketball,236223305205,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/MQgAAeSwlvhogTFp/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,21,,None,,Charlotte Hornets,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Traded-Card-21-Kelly-Tripucka-Hornets-/236223305206,1990-91 Fleer #21 Kelly Tripucka,Kelly Tripucka,1990-91 Fleer NBA Basketball Traded Card #21 Kelly Tripucka Hornets,2025-08-18T03:45:00.000Z,Basketball,236223305206,"Base Set, Traded Card (TR)",0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/IV0AAeSwgdNogTGl/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,41,,None,,Dallas Mavericks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Error-Card-41-James-Donaldson-UER-Mavericks-/236223305207,1990-91 Fleer #41 James Donaldson UER,James Donaldson,1990-91 Fleer NBA Basketball Error Card #41 James Donaldson UER Mavericks,2025-08-18T03:45:00.000Z,Basketball,236223305207,"Base Set, Uncorrected Error (UER)",0
